idProduccion;Clasificacion_Produccion;Tipo_Produccion;Validacion_Produccion;N_Registro_Produccion;Descripcion_Produccion;Nombre_Produccion;Informacion_Adicional_Produccion;Autores_Produccion;Col_Grupo_Codigo_GrupLAC
1;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;1 ;Publicado en revista especializada ;Influence of tool inclination on chip formation process and roughness response in ball-end milling of freeform surfaces on Ti-6Al-4V alloy ;Colombia, Machining Science And Technology - An International Journal ISSN: 1532-2483, 2017 vol:21 fasc: 1 págs: 121 - 135, DOI: ;JORGE ANDRES GARCIA BARBOSA, JOSE MANUEL ARROYO OSORIO, ERNESTO CORDOBA NIETO, ;nro=00000000000724;
2;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;2 ;Publicado en revista especializada ;Influence of tool inclination on chip formation process and roughness response in ball-end milling of freeform surfaces on Ti-6Al-4V ;Estados Unidos, Machining Science And Technology ISSN: 1091-0344, 2017 vol:21 fasc: 1 págs: 121 - 135, DOI:http://dx.doi.org/10.1080/10910344.2016.1260434 ;JORGE ANDRES GARCIA BARBOSA, JOSE MANUEL ARROYO OSORIO, ERNESTO CORDOBA NIETO, ;nro=00000000000724;
3;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;3 ;Publicado en revista especializada ;The manufacture of a maxillofacial prosthesis from an axial tomography using simulation technogies with a virtual machine tool and four-axis machining ;Colombia, Dyna ISSN: 0012-7353, 2016 vol:83 fasc: págs: 100 - 105, DOI:http://dx.doi.org/10.15446/dyna.v83n196.49662 ;ERNESTO CORDOBA NIETO, JORGE ANDRES GARCIA BARBOSA, JOSE MANUEL ARROYO OSORIO, ;nro=00000000000724;
4;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;4 ;Publicado en revista especializada ;NEAREST NEIGHBORS BY ADAPTIVE SIMULATED ANNEALING ;Colombia, Ieee America Latina ISSN: 1548-0992, 2015 vol:13 fasc: 7 págs: 2398 - 2404, DOI:10.1109/TLA.2015.7273804 ;MARIA ALEJANDRA GUZMAN PARDO, FLAVIO AUGUSTO PRIETO ORTIZ, DANIEL HERNANDO GOMEZ GOMEZ, ;nro=00000000000724;
5;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;5 ;Publicado en revista especializada ;Producción de biodiésel usando aceites residuales de fritura y etanol por catálisis alcalina ;Colombia, Ingenieria Solidaria ISSN: 1900-3102, 2014 vol:10 fasc: N/A págs: 61 - 69, DOI:http://dx.doi.org/10.16925/in.v9i17.806 ;CARLOS ALBERTO GUERRERO FAJARDO, EDWIN BULLA PEREIRA, FABIO SIERRA, ;nro=00000000000724;
6;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;6 ;Publicado en revista especializada ;Planificación del proceso de fresado de una pieza compleja utilizando una máquina herramienta virtual ;Cuba, Ingeniería Mecánica - ISSN: 1815-5944, 2014 vol:17 fasc: 3 págs: 281 - 287, DOI: ;ERNESTO CORDOBA NIETO, JOSE MANUEL ARROYO OSORIO, JORGE ANDRES GARCIA BARBOSA, ;nro=00000000000724;
7;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;7 ;Publicado en revista especializada ;Natural Composite Material from Steelwool or Luffa cylindrica under Natural, Rigid and Flexible Resin ;Estados Unidos, Journal Of Chemistry And Chemical Engineering ISSN: 1934-7375, 2014 vol:8 fasc: N/A págs: 906 - 917, DOI:10.17265/1934-7375/2014.09.001 ;CARLOS ALBERTO GUERRERO FAJARDO, DANIELA RINCON, ELIANA MARIA GUERRERO ROMERO, IGNACIO CONTRERAS ANDRADE, JONATHAN PARRA, ;nro=00000000000724;
8;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;8 ;Publicado en revista especializada ;Implementación del RCM II en planta de producción de lingotes de plomo ;Colombia, Scientia Et Technica ISSN: 0122-1701, 2014 vol:19 fasc: N/A págs: 200 - 208, DOI: ;LISANDRO VARGAS HENRIQUEZ, DAVID JESUS BARROS CHAPARRO, GUILLERMO VALENCIA OCHOA, ;nro=00000000000724;
9;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;9 ;Publicado en revista especializada ;Simulation and verification of parametric numerical control programs using a virtual machine tool ;Alemania, Production Engineering ISSN: 0944-6524, 2014 vol:1 fasc: N/A págs: 1 - 7, DOI:10.1007/s11740-014-0534-2 ;ERNESTO CORDOBA NIETO, JORGE ANDRES GARCIA BARBOSA, JOSE MANUEL ARROYO OSORIO, ;nro=00000000000724;
10;PRODUCCIÓN BIBLIOGRÁFICA;Artículos publicados;Si;10 ;Publicado en revista especializada ;Modelado de la Dinámica de Fluido para Optimizar el Proceso de Manufactura de un Horno de Secado de Madera ;Colombia, Ingeniare ISSN: 1909-2458, 2014 vol:16 fasc: N/A págs: 25 - 37, DOI: ;LISANDRO VARGAS HENRIQUEZ, ALFONSO RODRIGUEZ PENA, CRISTIAN ANTONIO PEDRAZA YEPES, JORGE MARIO PENA CONSUEGRA, ;nro=00000000000724;
