idSector; Numero_Sector;Nombre_Sector;Col_Grupo_Codigo_GrupLAC
1;1;Asesoramiento y consultoría en arquitectura e ingeniería ;nro=00000000000425;
2;2;Construcción civil ;nro=00000000000425;
3;3;Desarrollo de nuevos materiales ;nro=00000000000425;
4;4;Desarrollo de programas (software) ;nro=00000000000425;
5;5;Ensayos de materiales y productos análisis de calidad ;nro=00000000000425;
6;6;Fabricación de máquinas, aparatos y materialies eléctricos ;nro=00000000000425;
7;7;Fabricación de material electrónico básico ;nro=00000000000425;
8;8;Fabricación de otros aparatos e instrumentos de medida, test y control, exceto equipos para control de procesos industriales ;nro=00000000000425;
9;9;Producción y distribución de energía eléctrica ;nro=00000000000425;
10;1;Captación, tratamiento y distribución de agua, limpieza urbana, aguas residuales y actividades conexas ;nro=00000000000440;
11;2;Fabricación de catalizadores ;nro=00000000000440;
12;3;Fabricación de estructuras metálicas, calderería pesada, tanques, reservatorios y otros productos de metal, exclusive máquinas y equipos ;nro=00000000000440;
13;4;Fabricación de otros productos químicos ;nro=00000000000440;
14;5;Fabricación de productos de goma y plásticos ;nro=00000000000440;
15;6;Fabricación de productos químicos orgánicos ;nro=00000000000440;
16;7;Fabricación de resinas y elastómeros ;nro=00000000000440;
17;8;Otro ;nro=00000000000440;
18;9;Productos y procesos biotecnológicos vinculados a la agricultura ;nro=00000000000440;
19;10;Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible. ;nro=00000000000440;
20;1;Desarrollo de nuevos materiales ;nro=00000000001584;
21;2;Fabricación de máquinas, aparatos y equipos de sistemas electrónicos dedicados a la automación industrial y control del proceso productivo ;nro=00000000001584;
22;3;Fabricación de máquinas, aparatos y materialies eléctricos ;nro=00000000001584;
23;1;Educación ;nro=00000000001585;
24;2;Otras actividades de asesoramiento y consultoría a las empresas ;nro=00000000001585;
25;1;Producción vegetal ;nro=00000000000500;
